epoch,train_loss,test_loss,test_recon,test_kld
80,29.718931198120117,29.143795110285282,29.062068939208984,0.08172617107629776
81,29.629322052001953,29.850679770112038,29.744338989257812,0.10634078085422516
82,29.714252471923828,29.404805563390255,29.301692962646484,0.1031126007437706
83,29.673921585083008,29.13393571972847,29.039714813232422,0.09422090649604797
84,29.65234375,28.837815895676613,28.75528907775879,0.08252681791782379
85,29.629026412963867,29.514046974480152,29.4333438873291,0.08070308715105057
86,29.51553726196289,29.26155424118042,29.17861557006836,0.08293867111206055
87,29.54423713684082,29.382194444537163,29.300159454345703,0.08203499019145966
88,29.60457992553711,29.217747405171394,29.134830474853516,0.08291693031787872
89,29.53864288330078,29.210160955786705,29.125377655029297,0.08478330075740814
90,29.55683708190918,29.01372091472149,28.933269500732422,0.08045141398906708
